StockNo,Make,Model,Year,Trim,BodyStyle,Transmission,Fuel,Engine,Drivetrain,Mileage,ExteriorColor,InteriorColor,VIN,Price,Condition,Features,Location,Photo
A001,Toyota,Corolla,2021,LE,Sedan,Automatic,Petrol,1.8L I4,FWD,34500.0,Silver,Black,JTDBL40E1M1001001,16500.0,Used,Bluetooth;Backup Camera;Lane Assist;Apple CarPlay,"Budapest, HU",
A002,Toyota,RAV4,2022,XLE,SUV,Automatic,Hybrid,2.5L I4 Hybrid,AWD,22000.0,White,Gray,2T3RWRFV2NW001002,30990.0,Used,AWD;Adaptive Cruise;Heated Seats;Android Auto,"Budapest, HU",
A003,Honda,Civic,2020,Sport,Hatchback,Manual,Petrol,1.5L Turbo I4,FWD,41000.0,Blue,Black,SHHFK7H41LU001003,17850.0,Used,Sport Seats;Backup Camera;Bluetooth,"Debrecen, HU",
A004,Honda,CR-V,2023,EX,SUV,CVT,Hybrid,2.0L I4 Hybrid,AWD,12000.0,Gray,Black,2HKRS4H57PH001004,35990.0,Used,AWD;Sunroof;Blind Spot Monitor;Remote Start,"Szeged, HU",
A005,Ford,Focus,2019,Titanium,Hatchback,Automatic,Diesel,1.5L TDCi,FWD,68000.0,Red,Beige,WF0NXXGCHNK001005,13990.0,Used,Navigation;Park Assist;Heated Seats,"Budapest, HU",
A006,Ford,Kuga,2021,ST-Line,SUV,Automatic,Hybrid,2.5L Hybrid,FWD,29500.0,Black,Black,WF0FXXWPMMMA01006,27950.0,Used,Adaptive Cruise;Keyless Entry;LED Headlights,"Győr, HU",
A007,Volkswagen,Golf,2020,Highline,Hatchback,Automatic,Petrol,1.5 TSI,FWD,38000.0,White,Gray,WVWZZZCDZLW010007,16990.0,Used,Virtual Cockpit;Apple CarPlay;Lane Keep,"Budapest, HU",
A008,Volkswagen,Tiguan,2021,R-Line,SUV,Automatic,Diesel,2.0 TDI,AWD,33000.0,Dark Green,Black,WVGZZZ5NZMW010008,32990.0,Used,AWD;360 Camera;Panoramic Roof,"Pécs, HU",
A009,BMW,3 Series,2018,320d,Sedan,Automatic,Diesel,2.0L I4,RWD,86500.0,Gray,Brown,WBA8E1C55JA001009,18990.0,Used,Leather;Navigation;Parking Sensors,"Budapest, HU",
A010,BMW,X5,2022,xDrive40i,SUV,Automatic,Petrol,3.0L I6 Turbo,AWD,18000.0,Black,Black,WBAJU7C06N9A01010,65900.0,Used,AWD;Head-Up Display;Adaptive Suspension,"Budapest, HU",
